Servo angle calibration
LSM6DS33 Found!
Accelerometer range set to: +-2G
Accelerometer data rate set to: 26 Hz

BEGIN DATA COLLECTION
1000
9.571889 -0.094517 1.366900
9.567104 -0.090927 1.355534
9.560523 -0.095115 1.351347
9.565907 -0.099900 1.359721
9.558131 -0.087936 1.364507
9.563515 -0.095713 1.358525
9.576077 -0.084347 1.363909
9.561719 -0.098106 1.368096
9.573085 -0.090927 1.359721
9.565309 -0.089731 1.351347
9.569497 -0.086740 1.355534
9.571291 -0.084945 1.357927
9.568301 -0.079561 1.356730
9.568301 -0.095115 1.357927
9.567104 -0.075972 1.348954
9.567104 -0.089731 1.353739
9.567104 -0.095115 1.357329
9.562916 -0.096909 1.366302
9.567104 -0.080758 1.362712
9.562916 -0.086740 1.353739

1100
9.583853 -0.086142 1.159921
9.560523 -0.098704 1.182653
9.570095 -0.151944 1.162314
9.613763 -0.053839 1.149751
9.588041 -0.099900 1.168894
9.585050 -0.104686 1.169492
9.582059 -0.098704 1.158126
9.555140 -0.123230 1.177867
9.586247 -0.105882 1.164706
9.635299 -0.023928 1.143769
9.614362 -0.090927 1.144367
9.566505 -0.125623 1.172483
9.569497 -0.099900 1.155135
9.567104 -0.067597 1.168894
9.587443 -0.111266 1.153341
9.588041 -0.116052 1.143171
9.580862 -0.068794 1.165903
9.593425 -0.074776 1.155135
9.637094 -0.045464 1.149153
9.554541 -0.133400 1.165903

1200
9.607184 -0.084347 0.908674
9.607782 -0.069392 0.920040
9.621541 -0.079561 0.904487
9.614362 -0.076570 0.908076
9.615559 -0.069990 0.918844
9.626326 -0.079561 0.918246
9.606585 -0.078365 0.913460
9.619148 -0.065803 0.918844
9.604193 -0.086142 0.911665
9.604790 -0.097508 0.911665
9.612566 -0.077767 0.902692
9.604790 -0.087936 0.908076
9.611969 -0.087338 0.909273
9.617951 -0.078963 0.904487
9.610773 -0.082552 0.911067
9.617353 -0.061615 0.909871
9.608380 -0.077169 0.913460
9.611969 -0.080758 0.909871
9.613763 -0.076570 0.902094
9.602996 -0.083749 0.906880

1300
9.629916 -0.073579 0.639482
9.622138 -0.110070 0.619143
9.631112 -0.066401 0.623330
9.628121 -0.069392 0.625723
9.631710 -0.065803 0.625125
9.623933 -0.068794 0.635893
9.637692 -0.072383 0.619143
9.606585 -0.125025 0.623330
9.621541 -0.091525 0.625125
9.623335 -0.080160 0.626920
9.638291 -0.052642 0.626321
9.625728 -0.087338 0.616152
9.625728 -0.068794 0.622732
9.632906 -0.059222 0.619741
9.629317 -0.075374 0.625723
9.632308 -0.074178 0.623929
9.626924 -0.074776 0.623330
9.631112 -0.072981 0.613759
9.616754 -0.062213 0.622732
9.631710 -0.077767 0.616750

1400
9.638291 -0.068195 0.330808
9.632308 -0.074776 0.334397
9.634103 -0.072383 0.327817
9.640085 -0.065803 0.329611
9.641880 -0.066401 0.321236
9.634700 -0.071785 0.330808
9.634103 -0.066401 0.328415
9.637094 -0.074776 0.321236
9.638291 -0.075374 0.326620
9.641880 -0.068794 0.326022
9.636496 -0.069392 0.325424
9.663414 -0.041874 0.322433
9.646665 -0.055035 0.327219
9.643673 -0.071186 0.321236
9.634700 -0.060419 0.324826
9.641282 -0.066401 0.334995
9.643075 -0.056231 0.324826
9.643673 -0.057428 0.339781
9.644272 -0.065204 0.325424
9.637692 -0.066401 0.337986

1500
9.637094 -0.062213 0.068195
9.637692 -0.063410 0.060419
9.640085 -0.059222 0.066401
9.637094 -0.068794 0.063410
